Method,Image_ROCAUC,RGB_Pixel_ROCAUC,RGB_Pixel_F1,RGB_Pixel_AUPR,RGB_Pixel_AP,Infra_Pixel_ROCAUC,Infra_Pixel_F1,Infra_Pixel_AUPR,Infra_Pixel_AP,PC_Pixel_ROCAUC,PC_Pixel_F1,PC_Pixel_AUPR,Class
RGB,0.956,0.996,0.645,0.688,0.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Capsule
RGB,0.888,0.999,0.769,0.831,0.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotton
RGB,1.0,0.989,0.494,0.466,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cube
RGB,0.871,0.997,0.31,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spring_Pad
RGB,1.0,0.99,0.312,0.271,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Screw
RGB,0.772,0.864,0.36,0.287,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Screen
RGB,1.0,0.987,0.434,0.401,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Piggy
RGB,0.976,0.992,0.195,0.119,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nut
RGB,0.71,0.992,0.253,0.177,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Flat_Pad
RGB,0.871,0.991,0.458,0.463,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Plastic_Cylinder
RGB,0.946,0.965,0.168,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zipper
RGB,1.0,0.996,0.409,0.389,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Button_Cell
RGB,0.951,0.989,0.058,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toothbrush
RGB,0.821,0.991,0.375,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Solar_Panel
RGB,0.956,0.998,0.402,0.345,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Light
Mean,0.9145333333333333,0.9824,0.3761333333333334,0.3432666666666667,0.34340000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overall
